Epoch [1/10], Loss: 185.3559, Train Acc: 0.86, Val Acc: 0.90
Epoch [2/10], Loss: 132.4852, Train Acc: 0.91, Val Acc: 0.92
Epoch [3/10], Loss: 124.4765, Train Acc: 0.92, Val Acc: 0.92
Epoch [4/10], Loss: 120.6031, Train Acc: 0.92, Val Acc: 0.92
Epoch [5/10], Loss: 118.0023, Train Acc: 0.92, Val Acc: 0.93
Epoch [6/10], Loss: 116.0937, Train Acc: 0.92, Val Acc: 0.92
Epoch [7/10], Loss: 115.9634, Train Acc: 0.92, Val Acc: 0.92
Epoch [8/10], Loss: 114.4562, Train Acc: 0.92, Val Acc: 0.91
Epoch [9/10], Loss: 113.9360, Train Acc: 0.92, Val Acc: 0.92
Epoch [10/10], Loss: 113.3337, Train Acc: 0.92, Val Acc: 0.92
